date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2020-06-11 22:00:28 10.211.123.224 POST /services/printing/cart/api/UpdatePickupMethod - 80 8a01fda7f70042d0b5c3689f67c8c155 10.211.112.103 - - 200 0 0 32845
2020-06-11 22:00:28 10.211.123.224 POST /services/printing/cart/api/UpdatePickupMethod - 80 44a38f378f8d48aa938c150815261da6 10.211.112.103 - - 200 0 0 76831
2020-06-11 22:00:28 10.211.123.224 POST /services/printing/cart/api/UpdatePickupMethod - 80 cdbc0c107abb40e19645ee496e421083 10.211.112.103 - - 200 0 0 34954
2020-06-11 22:00:28 10.211.123.224 POST /services/printing/cart/api/UpdatePickupMethod - 80 f878ba1d7bc7464b9e39a232e1be852e 10.211.112.103 - - 200 0 0 70237
2020-06-11 22:00:28 10.211.123.224 POST /services/printing/cart/api/UpdatePickupMethod - 80 059c2cec19e54b54814579e02a974ea1 10.211.112.103 - - 200 0 0 85112
2020-06-11 22:00:28 10.211.123.224 POST /services/printing/cart/api/UpdatePickupMethod - 80 6d8952fef57c4c84afdaf1b98dd3a8ea 10.211.112.103 - - 200 0 0 85972
2020-06-11 22:00:28 10.211.123.224 POST /services/printing/cart/api/UpdatePickupMethod - 80 db91f45478a24e04b6ce89c733b73966 10.211.112.103 - - 200 0 0 52877
2020-06-11 22:00:28 10.211.123.224 POST /services/printing/cart/api/UpdatePickupMethod - 80 992d00d3f2c541ec97b9746308c7fdde 10.211.112.103 - - 200 0 0 53533
2020-06-11 22:00:28 10.211.123.224 POST /services/printing/cart/api/UpdatePickupMethod - 80 21c369c96e264cc3822d685d7cf03170 10.211.112.103 - - 200 0 0 53627
2020-06-11 22:00:29 10.211.123.224 POST /services/printing/cart/api/UpdatePickupMethod - 80 aecc84aaa6004c5fa8ca7b1b617d781f 10.211.112.103 - - 200 0 0 64549
2020-06-11 22:00:29 10.211.123.224 POST /services/printing/PC.WebServices/CartService.svc/GetCartItemCounts - 80 8a28107a4a8e4c6eac3eaac298577ad1 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 97410
2020-06-11 22:00:29 10.211.123.224 POST /services/printing/PC.WebServices/CartService.svc/GetCartItemCounts - 80 c48379b565304851bee78bc0410cd6fe 10.211.112.103 Python/3.8+aiohttp/3.6.2 - 200 0 0 108675
2020-06-11 22:00:29 10.211.123.224 POST /services/printing/cart/api/UpdatePickupMethod - 80 2b7e5bd90c484d42b5792521bfc026d9 10.211.112.103 - - 200 0 0 78300
2020-06-11 22:00:29 10.211.123.224 POST /services/printing/cart/api/UpdatePickupMethod - 80 d0435123266647d4ab2c05b0d53d6264 10.211.112.103 - - 200 0 0 77596
2020-06-11 22:00:29 10.211.123.224 POST /services/printing/cart/api/UpdatePickupMethod - 80 e306d12aa89b43b5bceea04ed04db764 10.211.112.103 - - 200 0 0 85456
2020-06-11 22:00:29 10.211.123.224 POST /services/printing/cart/api/UpdatePickupMethod - 80 d8ba04a1c8f844d8a79bb95d801f42a9 10.211.112.103 - - 200 0 0 43767
2020-06-11 22:00:29 10.211.123.224 POST /services/printing/cart/api/UpdatePickupMethod - 80 6e287fabe18a4e18ae83863e485c4e59 10.211.112.103 - - 200 0 0 27813
2020-06-11 22:00:29 10.211.123.224 POST /services/printing/cart/api/UpdatePickupMethod - 80 6360c88442024af38a94a6552a5d1e24 10.211.112.103 - - 200 0 0 87222
2020-06-11 22:00:29 10.211.123.224 POST /services/printing/cart/api/UpdatePickupMethod - 80 3cc3c6cbea564c168bc0545b6bf8aeb1 10.211.112.103 - - 200 0 0 59283
